position,team,matches,wins,draws,losses,points
1.,Pestszentimrei PSE I.,24,19,3,2,41
2.,BVSC-Zugló Senior I.,24,19,1,4,39
3.,Honvéd Zrinyi SE I.,24,18,2,4,38
4.,BEAC I.-PPKO,24,17,3,4,37
5.,KSI SE III.,24,14,2,8,30
6.,BKV Előre SC I.,24,14,2,8,30
7.,MAVEX SE III.,24,13,2,9,28
8.,Budai XI. SE II.,24,11,2,11,24
9.,ABC Centerline II.,24,10,2,12,22
10.,Kispest SE II.,24,8,4,12,20
11.,Kispest SE III.,24,6,4,14,16
12.,MAFC II.,24,8,0,16,16
13.,KSI Senior-KÖZGÁZ SC és DSK,24,6,3,15,15
14.,Angyalföldi TTE I.,24,5,3,16,13
15.,ÁNy Biztonsági Nyomda SK I.,24,5,2,17,11
16.,ESMTK II.,24,1,1,22,3
