position,team,matches,wins,draws,losses,points
1.,BVSC-Zugló V.-Sima Szoft,28,28,0,0,56
2.,FKF SK II.,28,23,1,4,45
3.,Hidegkúti SC-Klebelsberg I.,28,18,3,7,39
4.,Hercules SE II. - Topspin,28,14,3,11,31
5.,BPPK SE I.-túróSCsusza,28,14,4,10,31
6.,Budai XI SE X.-Külváros,28,13,5,10,31
7.,Budai XI SE VI.-Dunaholding,28,10,4,14,24
8.,Honvéd Zrínyi SE III.,28,11,2,15,24
9.,Pestújhelyi SC IV.,28,12,1,15,23
10.,Angyalföldi TTE III.,28,10,2,16,22
11.,Pénzügyőr SE VIII.,28,9,3,16,21
12.,Sanitas-Budo SE IV.-Asia Center I.,28,8,4,16,20
13.,OTP SK II.,28,7,6,15,20
14.,Kispest SE IV.-Brumi Szöcske Team,28,6,3,19,15
15.,ESMTK IV.,28,5,3,20,11
16.,X BP II/1,0,0,0,0,0
