position,team,matches,wins,draws,losses,points
1.,PDSK III.-Csintalan-Mf. Sasok,28,24,2,2,50
2.,SZUFLA SE IV.,28,25,0,3,50
3.,BEAC II.-Magyar-Lakk DKK,28,20,4,4,44
4.,KSI SE VIII.- MIKI I.,28,21,2,5,44
5.,Honvéd Zrinyi SE II.,28,17,3,8,37
6.,Budai XI SE IV.-Kontra cs.,28,13,3,12,29
7.,BKV Előre  SC II.,28,12,2,14,26
8.,Shopsport SE,28,9,6,13,24
9.,MVM SE II.,28,7,7,14,21
10.,ESZVK-Parazsak,28,8,4,16,20
11.,KIWI SE,28,8,3,17,19
12.,HCTC-Magyar-Kínai AK,28,6,5,17,17
13.,Kispest SE III.,28,7,3,18,17
14.,Lendület SE II.- Nép-eü.,28,4,3,21,11
15.,Brumi Szöcske Team,28,4,3,21,11
16.,X BP II/3,0,0,0,0,0
