position,team,matches,wins,draws,losses,points
1.,BVSC-Zugló IV.-Sima Szoft,26,26,0,0,52
2.,Igazságügyi SC I.,26,17,3,6,37
3.,FKF SK II.,26,16,5,5,37
4.,Pénzügyőr SE VI.,26,17,2,7,36
5.,Pestszentimrei PSE V.,26,15,3,8,33
6.,Kőbánya SC II.,26,13,6,7,32
7.,Budai XI. SE III.,26,12,3,11,27
8.,BEAC II.,26,11,3,12,25
9.,KSI SE IV.,26,9,3,14,21
10.,ESZVK-Parazsak,26,6,2,18,14
11.,ABC Centerline II.,26,6,3,17,14
12.,Pestújhelyi SC III.,26,4,4,18,12
13.,Sanitas-BUDO SE III.,26,7,2,17,11
14.,Belvárosi Asztalitenisz Egyesület,26,3,1,22,7
15.,X BP I/B-2,0,0,0,0,0
,XX BP I/B-2,0,0,0,0,0
