match_id,home_team,away_team,score
19413,MVM SE II. ↔,ESMTK V.,7 : 9
19414,Honvéd Zrínyi SE III. ↔,Budai XI SE X.-Külváros,8 : 8
19412,SPLITT-PONG ↔,GALAXIS VSE I.,2 : 14
19411,FKF SK II. ↔,Pestszentimrei PSE IV.,3 : 13
19415,Angyalföldi TTE III. ↔,Pestújhelyi SC V.,8 : 8
19410,Palotai Titánok SE I. ↔,BPPK SE I.-túróSCsusza,12 : 4
19417,Budai XI. SE V. ↔,Sanitas-Budo SE IV.-Asia Center I.,9 : 7
19416,Hidegkúti SC-Klebelsberg I. ↔,Budai XI SE VI.-Dunaholding,9 : 7
19436,Budai XI SE X.-Külváros ↔,Budai XI. SE V.,7 : 9
19451,Budai XI SE X.-Külváros ↔,Budai XI SE VI.-Dunaholding,7 : 9
