position,team,matches,wins,draws,losses,points
1.,Sanitas-BUDO SE III.-Autóklub,30,30,0,0,60
2.,MALÉV SC II.,30,27,0,3,54
3.,MTK Budapest,30,21,2,7,44
4.,Pénzügyőr SE VII.,30,21,0,9,42
5.,Szufla SE II.,30,18,3,9,39
6.,Budai XI. SE II.,30,16,4,10,36
7.,BVSC-Zugló Senior I.,30,14,5,11,33
8.,MAFC II.,30,14,3,13,31
9.,Belvárosi Asztalitenisz Egyesület,30,13,2,15,28
10.,Honvéd Zrínyi SE I.,30,13,2,15,28
11.,ABC Centerline I.,30,12,0,18,24
12.,Kispest SE II.,30,10,2,18,20
13.,KSI Senior-KÖZGÁZ SC és DSK,30,8,1,21,17
14.,KSI SE IV.,30,5,3,22,13
15.,ANY Biztonsági SK I.,30,2,2,26,6
16.,Pénzügyőr SE VI.,30,1,1,28,0
