position,team,matches,wins,draws,losses,points
1.,KIWI SE I.,26,21,2,3,44
2.,Budai XI SE XI.,26,19,2,5,40
3.,MAFC IV.,26,18,4,4,40
4.,Budai XI SE VIII.-Sto,26,17,2,7,36
5.,High Life SE II.-Diavoli,26,16,2,8,34
6.,Hercules SE II. - Topspin,26,14,4,8,32
7.,Puskás DSK,26,13,3,10,29
8.,Városmajori Katolikus Egyesület,26,12,5,9,26
9.,Kispest SE III.,26,12,3,11,26
10.,Budai XI SE VII.-Kontra csoport,26,11,1,14,23
11.,ESMTK IV.,26,6,0,20,12
12.,Pestszentimrei PSE VI.,26,5,0,21,10
13.,FKF SK III.,26,4,0,22,8
14.,EGIS SE II.,26,0,0,26,0
15.,XX BP II/2,0,0,0,0,0
,X BP II/2,0,0,0,0,0
