match_id,home_team,away_team,score
20120,Sanitas-Budo SE IV.-Asia Center I. ↔,Honvéd Zrínyi SE III.,3 : 13
20118,Pestújhelyi SC IV. ↔,Hercules SE II. - Topspin,7 : 9
20134,BPPK SE I.-túróSCsusza ↔,ESMTK IV.,11 : 5
20133,Sanitas-Budo SE IV.-Asia Center I. ↔,Hercules SE II. - Topspin,7 : 9
20138,FKF SK II. ↔,Budai XI SE X.-Külváros,12 : 4
20135,Angyalföldi TTE III. ↔,Honvéd Zrínyi SE III.,11 : 5
20132,Pestújhelyi SC IV. ↔,OTP SK II.,5 : 11
20137,Kispest SE IV.-Brumi Szöcske Team ↔,BVSC-Zugló V.-Sima Szoft,4 : 12
20136,Hidegkúti SC-Klebelsberg I. ↔,Budai XI SE VI.-Dunaholding,12 : 4
20142,Budai XI SE VI.-Dunaholding ↔,Pénzügyőr SE VIII.,9 : 7
