position,team,matches,wins,draws,losses,points
1.,Szent Pál Akadémia-HSE I.,30,20,5,5,45
2.,Budai XI SE X.,30,20,5,5,45
3.,BKV Előre  SC II.,30,19,6,5,44
4.,Palotai Titánok SE I.,30,19,2,9,39
5.,MAFC III.,30,16,5,9,37
6.,MVM SE II.,30,16,4,10,36
7.,ESMTK V.,30,14,4,12,32
8.,ESZVK-Parazsak,30,13,5,12,31
9.,Szufla SE IV.,30,12,5,13,29
10.,Shopsport SE,30,11,6,13,28
11.,Budai XI SE IV.-Kontra cs.,30,10,8,12,28
12.,KSI SE VI.,30,8,8,14,24
13.,Kőbánya SC II.,30,8,4,18,20
14.,Pestszentimrei PSE II.,30,6,5,19,17
15.,Brumi Szöcske Team I.,30,3,9,18,15
16.,Lendület SE-Ybl Tervező,30,3,3,24,8
