match_id,home_team,away_team,score
16287,FKF SK II. ↔,OTP SK II.,8 : 8
16292,Pénzügyőr SE VI. ↔,Belvárosi Asztalitenisz Egyesület,10 : 6
16476,Pénzügyőr SE VI. ↔,BVSC-Zugló IV.,8 : 8
16357,OTP SK II. ↔,OVIT SE II.,3 : 13
16356,Pénzügyőr SE V. ↔,KSI Senior-KFKI SK II.,8 : 8
16361,Szent Pál Akadémia-HSE I. ↔,FKF SK II.,15 : 1
16482,BVSC-Zugló IV. ↔,HCTC-Magyar-Kínai AK I.,16 : 0
16359,Multi Sport SE I. ↔,Budai XI SE III.,5 : 11
16358,HCTC-M-K AK II.-WASABI ↔,Pestújhelyi SC IV.,6 : 10
16360,Belvárosi Asztalitenisz Egyesület ↔,KSI SE IV.- MIKI I.,8 : 8
16362,Pénzügyőr SE VI. ↔,ESMTK III.,4 : 12
