position,team,matches,wins,draws,losses,points
1.,Sanitas-Budó SE II.,30,27,3,0,57
2.,ABC Centerline II.,30,26,1,3,53
3.,KSI SE VII.-PPKO,30,24,2,4,50
4.,Budai XI SE VI.,30,23,2,5,48
5.,KSI SE X.,30,20,2,8,42
6.,SZÜV ASE I.,30,16,2,12,34
7.,Szent Pál Akadémia I.,30,14,4,12,32
8.,BEAC I.,30,15,2,13,32
9.,Csepeli Vállalkozások AE I.,30,12,4,14,27
10.,Ferencvárosi Vasutas SK,30,11,4,15,26
11.,BKV Előre SC III.,30,9,3,18,20
12.,Kőbánya SC II.,30,8,4,18,19
13.,Lendület SE II.-Népegészségügy,30,7,0,23,13
14.,Puskás DSK II.,30,6,1,23,12
15.,Pestújhelyi SC IV.,30,5,0,25,10
16.,KSI Senior-KFKI SK IV.,30,0,0,30,0
