position,team,matches,wins,draws,losses,points
1.,Shopsport SE,28,24,3,1,51
2.,Budai XI SE VII.,28,23,2,3,48
3.,Pestszentimrei PSE V.,28,20,2,6,42
4.,Budai XI SE IX.,28,19,2,7,40
5.,Palotai Titánok SE II.,28,16,3,9,35
6.,FKF SK III.,28,15,1,12,31
7.,BKV Előre  SC II.,28,12,6,10,30
8.,SZÜV ASE I.,28,10,5,13,25
9.,OTP SK II.,28,10,5,13,25
10.,Angyalföldi TTE II.,28,8,5,15,21
11.,Kispest SE IV.,28,8,4,16,20
12.,Rákosmente AK I.,28,8,2,18,18
13.,KSI SE V.,28,8,2,18,18
14.,GALAXIS VSE II.-Fortuna,28,4,1,23,9
15.,Kőbánya SC III.,28,2,3,23,7
