position,team,matches,wins,draws,losses,points
1.,KSI SE V.- MIKI I.,30,28,0,2,56
2.,ESMTK IV.,30,25,0,5,50
3.,OVIT SE II.,30,22,2,6,46
4.,ESZVK-Parazsak,30,19,2,9,40
5.,Kispest SE III.,30,19,2,9,37
6.,Honvéd Zrínyi SE II.,30,17,1,12,34
7.,Igazságügyi SC I.,30,14,3,13,31
8.,BKV Előre  SC II.,30,13,2,15,28
9.,MTSE I.,30,12,3,15,27
10.,MVM SE II.,30,12,2,16,26
11.,Budai XI SE IV.-Kontra cs.,30,11,2,17,24
12.,Lendület SE III.- Nép-eü.,30,8,2,20,18
13.,BPPK SE I.-túróSCsusza,30,9,1,20,18
14.,Szufla SE V.-Ragazzart,30,4,8,18,16
15.,Brumi Szöcske Team I.,30,7,3,20,14
16.,Pestújhelyi SC IV.,30,2,3,25,7
