position,team,matches,wins,draws,losses,points
1.,Törekvés SE,26,21,2,3,44
2.,ESZVK-Parazsak,26,21,1,4,43
3.,High Life SE III.-Diavoli,26,19,2,5,40
4.,Budai XI SE XI.,26,17,4,5,38
5.,Puskás DSK,26,16,3,7,35
6.,Hercules SE I.-Neting,26,14,4,8,32
7.,ABC Centerline III.,26,14,3,9,31
8.,Budai XI SE VII.-Kontra csoport,26,12,2,12,26
9.,KIWI SE I.,26,12,0,14,24
10.,MVM Gáz SE I.,26,9,4,13,22
11.,Honvéd Zrínyi SE II.,26,6,1,19,13
12.,FKF SK III.,26,4,0,22,8
13.,Budai XI SE VIII.-Sto,26,3,0,23,6
14.,ESMTK V.,26,1,0,25,2
15.,X BP II/2,0,0,0,0,0
,XX BP II/2,0,0,0,0,0
