position,team,matches,wins,draws,losses,points
1.,Budai XI SE III.-túróSCsusza,30,25,3,2,51
2.,Kispest SE II.,30,22,2,6,46
3.,OTP SK I.,30,19,6,5,44
4.,BVSC-Zugló SI V.,30,17,5,8,39
5.,Belvárosi Asztalitenisz Egyesület,30,12,10,8,34
6.,BVSC-Zugló Senior II.,30,14,2,14,30
7.,2002 Római ASE,30,14,1,15,29
8.,Törekvés SE,30,12,5,13,29
9.,BKV Előre SC II.,30,10,7,13,27
10.,Vármajori SE II.,30,12,3,15,27
11.,BKV Előre SC I.,30,11,5,14,27
12.,MTK II.,30,12,3,15,26
13.,Pénzügyőr SE VIII.,30,10,4,16,24
14.,Pestújhelyi SC III.,30,11,1,18,23
15.,ESMTK I.,30,6,3,21,14
16.,Honvéd Zrínyi SE II.,30,2,2,26,6
