match_id,home_team,away_team,score
23449,Sanitas-Budo SE IV.-Asia Center I. ↔,Pestszentimrei PSE IV.,2 : 14
23454,Pénzügyőr SE VI. ↔,Sanitas-Budo SE IV.-Asia Center I.,7 : 9
23457,GALAXIS VSE I. ↔,ESMTK II.,14 : 2
23502,Budai XI SE VII.-Sto ↔,Belvárosi Asztalitenisz Egy. I.,14 : 2
23458,MAFC III. ↔,ABC Centerline III.,10 : 6
23460,VEMAX SE IV. ↔,KSI SE II.,9 : 7
23455,Kispest SE II. ↔,BEAC III.,11 : 5
23459,Pestszentimrei PSE IV. ↔,FKF SK III.,16 : 0
23503,Belvárosi Asztalitenisz Egy. I. ↔,GALAXIS VSE I.,3 : 13
23461,KSI SE II. ↔,BEAC III.,9 : 7
