position,team,matches,wins,draws,losses,points
1.,Pestújhelyi SC III.,30,29,1,0,59
2.,Sanitas-BUDO SE III.-Vármajor,30,20,6,4,46
3.,KSI SE III.,30,22,2,6,46
4.,MAFC II.,30,19,3,8,41
5.,BVSC-Zugló Senior I.,30,15,7,8,37
6.,BEAC I.-PPKO,30,17,0,13,34
7.,Szufla SE II.,30,14,3,13,31
8.,BKV Előre SC I.,30,10,7,13,27
9.,Budai XI. SE II.,30,11,3,16,25
10.,ÁNy Biztonsági Nyomda SK I.,30,12,2,16,25
11.,ABC Centerline II.,30,8,7,15,23
12.,Honvéd Zrinyi SE I.,30,10,2,18,22
13.,Kispest SE III.,30,9,3,18,21
14.,KSI Senior-KÖZGÁZ SC és DSK,30,7,5,18,19
15.,Belvárosi Asztalitenisz Egyesület,30,4,4,22,12
16.,Pénzügyőr SE V.,30,3,5,22,11
