match_id,home_team,away_team,score
13268,BVSC-Zugló IV. ↔,Belvárosi Asztalitenisz Egyesület,16 : 0
13267,Budai XI. SE II. ↔,Csintalan-Sasok-PDSK I.,4 : 12
13280,ABC Centerline I. ↔,Budai XI. SE II.,8 : 8
13317,Szufla SE II. ↔,ÁNy Biztonsági Nyomda SK I.,8 : 8
13316,KSI Senior-KÖZGÁZ SC és DSK ↔,Belvárosi Asztalitenisz Egyesület,8 : 8
13329,BVSC-Zugló IV. ↔,Kispest SE III.,16 : 0
13322,Pénzügyőr SE VII. ↔,ÁNy Biztonsági Nyomda SK I.,9 : 7
13324,Csintalan-Sasok-PDSK I. ↔,KSI Senior-KÖZGÁZ SC és DSK,12 : 4
13328,Budai XI. SE II. ↔,Honvéd Zrinyi SE I.,13 : 3
13327,KSI SE III. ↔,ABC Centerline II.,8 : 8
13323,Belvárosi Asztalitenisz Egyesület ↔,Szufla SE II.,5 : 11
13356,MAFC II. ↔,ÁNy Biztonsági Nyomda SK I.,14 : 2
