position,team,matches,wins,draws,losses,points
1.,Lendület SE II.-Ybl Tervező,28,24,3,1,51
2.,HCTC-M-K AK II.-WASABI,28,23,1,4,47
3.,Puskás DSK II.,28,21,0,7,42
4.,Ferencvárosi Vasutas SK,28,18,4,6,40
5.,KSI SE VI.,28,19,1,8,39
6.,Shopsport SE,28,13,4,11,30
7.,ABC Centerline III.,28,13,3,12,29
8.,SZÜV ASE I.,28,13,1,14,27
9.,Ikarus BSE II.,28,11,2,15,24
10.,Budai XI SE VII.,28,9,4,15,22
11.,Budai XI SE VI.-Dunaholding,28,6,5,17,17
12.,Sanitas-Budó SE VI.,28,7,2,19,16
13.,Szufla SE IV.,28,6,3,19,15
14.,KFKI SK III.,28,5,1,22,11
15.,ESMTK V.,28,5,0,23,10
16.,Pénzügyőr SE X.-Fekete Sereg,0,0,0,0,0
