position,team,matches,wins,draws,losses,points
1.,Palotai Titánok SE I.,26,25,0,1,50
2.,Budai XI SE XI.,26,19,4,3,42
3.,Hidegkúti SC-Klebelsberg I.,26,20,2,4,42
4.,SZÜV ASE I.,26,17,3,6,37
5.,Kőbánya SC III.,26,16,3,7,35
6.,Szent Pál Akadémia-HSE I.,26,12,3,11,27
7.,Pénzügyőr SE IX.,26,11,2,13,24
8.,Angyalföldi TTE II.,26,13,0,13,24
9.,Kispest SE IV.,26,9,1,16,18
10.,GALAXIS VSE II.,26,7,3,16,17
11.,Rákosmente AK I.,26,7,4,15,16
12.,MVM SE II.,26,3,5,18,10
13.,Pestszentimrei PSE VII.,26,4,0,22,8
14.,Budai XI SE XIII.,26,2,4,20,8
15.,X BP II/3,0,0,0,0,0
,XX BP II/3,0,0,0,0,0
