position,team,matches,wins,draws,losses,points
1.,BVSC-Zugló Senior II.,24,23,0,1,46
2.,KSI SE V.,24,22,0,2,44
3.,Budai XI SE VIII.-Őrmező,24,15,1,8,31
4.,Puskás DSK II.,24,13,3,8,29
5.,FKF SK III.,24,13,2,9,28
6.,BKV Előre  SC III.,24,13,1,10,27
7.,Brumi Szöcske Team I.,24,12,3,9,27
8.,Pénzügyőr SE VII.,24,11,4,9,26
9.,BEAC II.,24,10,4,10,24
10.,Honvéd Zrínyi SE II.,24,8,5,11,21
11.,Budai XI SE IV.-Kontra cs.,24,9,2,13,20
12.,MVM SE II.,24,7,4,13,18
13.,ESZVK-Parazsak,24,7,3,14,17
14.,MAFC IV.-EMKÁBÉ,24,6,3,15,15
15.,FŐGÁZ Keszi-team I.,24,4,1,18,9
16.,Hidegkúti SC-Klebelsberg II.,24,0,0,23,0
