position,team,matches,wins,draws,losses,points
1.,Postás SE II.,30,27,1,2,55
2.,Vármajori SE I.,30,24,2,4,50
3.,Hercules-Neting Team,30,23,2,5,48
4.,Kispest SE I.,30,23,2,5,48
5.,MVM SE I.,30,17,2,11,36
6.,FKF Zrt. SK I.,30,14,5,11,33
7.,Szufla SE I.-Kerepes,30,15,3,12,33
8.,Pénzügyőr SE V.,30,13,4,13,30
9.,Budai XI SE I.,30,12,5,13,29
10.,MAVEX SE III.,30,10,6,14,26
11.,KSI SE IV.,30,11,1,18,23
12.,KSI SE III.,30,7,4,19,18
13.,Postás SE I.,30,7,4,19,18
14.,MAFC I.,30,6,4,20,16
15.,Ikarus BSE I.,30,7,1,22,15
16.,Pénzügyőr SE VI.,30,1,0,29,2
