position,team,matches,wins,draws,losses,points
1.,Pestszentimrei PSE IV.,28,28,0,0,56
2.,GALAXIS VSE I.,28,23,3,2,49
3.,Kispest SE II.,28,19,3,6,41
4.,Budai XI SE IV.,28,18,3,7,39
5.,Sanitas-Budo SE IV.-Asia Center I.,28,16,6,6,38
6.,FKF SK III.,28,16,4,8,36
7.,Pénzügyőr SE VI.,28,11,4,13,26
8.,ESMTK II.,28,10,2,16,22
9.,VEMAX SE IV.,28,10,1,17,21
10.,ABC Centerline III.,28,9,2,17,20
11.,KSI SE II.,28,9,1,18,19
12.,BEAC III.,28,8,2,18,18
13.,Budai XI SE VII.-Sto,28,7,0,21,14
14.,MAFC III.,28,6,1,21,13
15.,Belvárosi Asztalitenisz Egy. I.,28,3,2,23,6
16.,BVSC-Zugló IV.-Senior I.,0,0,0,0,0
