position,team,matches,wins,draws,losses,points
1.,Igazságügyi SC I.,28,22,3,3,47
2.,Pestszentimrei PSE I.,28,21,4,3,46
3.,KIWI SE,28,21,1,6,43
4.,ESMTK III.,28,20,3,5,43
5.,Honvéd Zrínyi SE II.,28,17,3,8,37
6.,Budai XI SE VII.,28,16,5,7,37
7.,SZÜV ASE I.,28,11,4,13,26
8.,Csepeli Vállalkozók AKE I.,28,10,4,14,24
9.,Lendület SE III.- BFKH Nép-eü.,28,12,0,16,24
10.,BKV Előre  SC III.,28,12,0,16,24
11.,Budai XI SE III.-Őrmező,28,8,2,18,18
12.,Budai XI SE IX.-Meteorok,28,7,3,18,17
13.,Ferencvárosi Vasutas SK,28,6,3,19,15
14.,Puskás DSK III.,28,5,2,21,12
15.,Kispest SE V.,28,3,1,24,7
16.,Pénzügyőr SE IX.,0,0,0,0,0
