position,team,matches,wins,draws,losses,points
1.,Pestújhelyi SC III.,24,24,0,0,48
2.,Aqualibrium VSE,24,17,1,5,35
3.,Sanitas-BUDO SE III.-Vármajor,24,15,4,5,34
4.,Pénzügyőr SE IV.,24,14,4,6,32
5.,PDSK I. - Mátyásföldi Sasok,24,13,5,6,31
6.,Cromax SE,24,11,5,7,27
7.,MVM SE I.,24,13,1,10,27
8.,ABC Centerline I.,24,11,3,10,25
9.,Hajós Alfréd DSE,24,9,6,9,24
10.,Postás SE II.,24,10,4,10,24
11.,Sanitas-BUDO SE II.,24,6,5,13,17
,MALÉV SC II.,24,6,5,13,17
13.,Budai XI SE I.,24,7,0,17,14
14.,MAFC I.,24,3,4,17,10
15.,OTP SK I.,24,5,0,19,10
16.,Kőbánya SC I.,24,3,1,20,7
