match_id,home_team,away_team,score
17938,BPPK SE I.-túróSCsusza ↔,Palotai Titánok SE I.,3 : 13
17944,Budai XI SE VI.-Dunaholding ↔,Hidegkúti SC-Klebelsberg I.,8 : 8
17943,GALAXIS VSE I. ↔,Pestújhelyi SC V.,10 : 6
17940,Angyalföldi TTE III. ↔,SAP-SPLITT-PONG,11 : 5
17942,Budai XI SE X.-Külváros ↔,MAFC V.-Puskás,6 : 10
17939,Pestszentimrei PSE II. ↔,FKF SK II.,13 : 3
18148,Sanitas-Budo SE IV.-Asia Center I. ↔,Budai XI. SE V.,11 : 5
17960,Budai XI SE X.-Külváros ↔,Budai XI. SE V.,7 : 9
17974,Budai XI SE VI.-Dunaholding ↔,Budai XI SE X.-Külváros,2 : 14
