position,team,matches,wins,draws,losses,points
1.,Sanitas-Budo SE IV.-Asia Center,28,25,1,2,51
2.,FKF SK IV.,28,25,0,3,50
3.,Budai XI SE VI.-Dunaholding,28,22,3,3,47
4.,Hidegkúti SC-Klebelsberg I.,28,15,5,8,35
5.,Pénzügyőr SE VII.,28,14,4,10,32
6.,ESMTK III.,28,13,5,10,31
7.,Budai XI SE X.-Külváros I.,28,13,1,14,27
8.,BVSC-Zugló VI.-Senior II.,28,11,4,13,25
9.,BEAC IV.-Pancho,28,11,1,16,23
10.,BPPK SE-Túróscsusza,28,11,1,16,23
11.,MAFC III.-EMKÁBÉ,28,9,4,15,21
12.,High Life SE III.-Sólymok,28,9,1,18,19
13.,OTP SK II.,28,7,2,19,16
14.,Hercules SE I.-Neting,28,6,2,20,14
15.,Kispest SE IV.-Brumi Szöcske Team,28,1,2,25,0
16.,X BP II/1,0,0,0,0,0
