position,team,matches,wins,draws,losses,points
1.,ESMTK II.,30,29,1,0,59
2.,Lendület SE I.-Ybl Tervező,30,27,1,2,55
3.,SZUFLA SE III.,30,19,3,8,41
4.,Puskás DSK I.,30,19,3,8,41
5.,ABC Centerline III.,30,17,6,7,40
6.,OTP SK II.,30,17,4,9,38
7.,Budai XI SE VII.-Dunaholding,30,16,4,10,36
8.,MAFC III.-PANCHO,30,13,5,12,30
9.,Ikarus BSE II.,30,12,4,14,27
10.,KSI SE IX.-MIKI II.,30,13,2,15,27
11.,Erzsébeti Hajós III.,30,10,4,16,23
12.,BEAC II.-Magyar-Lakk DKK,30,9,3,18,21
13.,KFKI Petőfi SK III.,30,7,1,22,14
14.,Budai XI SE VIII.-MAFILM,30,6,2,22,14
15.,Sanitas-Budó SE IV.,30,4,1,25,9
16.,Brumi Szöcske Team,30,0,0,30,0
