position,team,matches,wins,draws,losses,points
1.,Pestszentimrei PSE IV.,30,29,0,1,58
2.,Palotai Titánok SE I.,30,28,1,1,57
3.,GALAXIS VSE I.,30,25,1,4,51
4.,Hidegkúti SC-Klebelsberg I.,30,19,4,7,42
5.,Sanitas-Budo SE IV.-Asia Center I.,30,15,7,8,37
6.,Budai XI. SE V.,30,18,1,11,37
7.,Budai XI SE X.-Külváros,30,12,6,12,30
8.,Pestújhelyi SC V.,30,11,3,16,25
9.,BPPK SE I.-túróSCsusza,30,10,4,16,24
10.,Angyalföldi TTE III.,30,9,5,16,23
11.,Honvéd Zrínyi SE III.,30,8,4,18,20
12.,FKF SK II.,30,8,3,19,19
13.,MVM SE II.,30,9,1,20,19
14.,Budai XI SE VI.-Dunaholding,30,9,1,20,19
15.,ESMTK V.,30,8,1,21,17
16.,SPLITT-PONG,30,1,0,29,2
