match_id,home_team,away_team,score
23071,MAFC I. ↔,Pestszentimrei PSE III.,6 : 10
23074,Kőbánya SC I. ↔,BKV Előre SC I.,8 : 8
23243,Pestújhelyi SC II. ↔,BVSC-Zugló III.-Sima Szoft,5 : 11
23104,Kőbánya SC I. ↔,Budai XI SE II.,6 : 10
23102,MVM SE I. ↔,BKV Előre SC I.,5 : 11
23246,BVSC-Zugló III.-Sima Szoft ↔,Pestszentimrei PSE III.,12 : 4
23103,Pénzügyőr SE V. ↔,OTP SK I.,10 : 6
23108,ESMTK I. ↔,EGIS SE I.,9 : 7
23105,Budai XI SE I. ↔,Pestújhelyi SC II.,9 : 7
23107,BEAC I.-PPKO ↔,Igazságügyi SC I.,11 : 5
