position,team,matches,wins,draws,losses,points
1.,Pestszentimrei PSE IV.,28,25,3,0,53
2.,BKV Előre SC I.,28,24,1,3,49
3.,Pénzügyőr SE V.,28,24,1,3,49
4.,ESMTK II.,28,14,5,9,33
5.,GALAXIS VSE I.,28,15,1,12,31
6.,BEAC III.,28,13,4,11,30
7.,BVSC-Zugló V.,28,14,1,13,28
8.,Budai XI SE IV.,28,13,2,13,28
9.,Törekvés SE,28,11,3,14,25
10.,KSI SE III.,28,12,0,16,24
11.,Kispest SE II.,28,10,4,14,23
12.,VEMAX SE IV.,28,8,1,19,17
13.,High Life SE I.-WASABI,28,6,1,21,12
14.,MALÉV SC I.,28,3,4,21,10
15.,Angyalföldi TTE I.,28,1,3,24,5
16.,X BP I/B-1,0,0,0,0,0
