position,team,matches,wins,draws,losses,points
1.,Hajós Alfréd DSE,28,25,1,2,51
2.,Pénzügyőr SE IV.,28,23,2,3,48
3.,MVM SE I.,28,23,0,5,46
4.,Kőbánya SC I.,28,19,5,4,43
5.,Budai XI SE I.,28,17,2,9,36
6.,ABC Centerline I.,28,16,2,10,34
7.,Honvéd Zrinyi SE I.,28,12,3,13,27
8.,BVSC-Zugló III.-Senior I.,28,11,3,14,25
9.,MALÉV SC II.,28,10,1,17,21
10.,MAVEX SE III.,28,9,2,17,20
11.,Sanitas-BUDO SE III.,28,8,2,18,18
12.,MAFC I.,28,8,2,18,18
13.,Pestszentimrei PSE II.,28,8,1,19,17
14.,MLTC - Mátyásföldi Sasok,28,7,2,19,16
15.,Postás SE,28,0,0,28,0
