position,team,matches,wins,draws,losses,points
1.,HCTC-Magyar-Kínai AK I.,30,27,3,0,57
2.,FŐGÁZ Keszi-team I.,30,24,1,5,49
3.,KIWI SE,30,21,4,5,46
4.,Pénzügyőr SE IX.,30,20,3,7,43
5.,Budai XI. SE V.,30,19,3,8,41
6.,Törekvés SE,30,17,5,8,39
7.,Csepeli VAKE I.,30,16,3,11,35
8.,Palotai Titánok SE I.,30,15,1,14,31
9.,KSI SE VII.,30,13,4,13,30
10.,MAFC III.-PANCHO,30,12,5,13,29
11.,Multi Sport SE I.,30,11,2,17,24
12.,BKV Előre  SC III.,30,10,2,18,22
13.,Kőbánya SC II.,30,7,4,19,18
14.,ESMTK III.,30,5,0,25,10
15.,Puskás DSK III.,30,2,1,27,5
16.,KSI Senior-KFKI SK IV.,30,0,1,29,1
