position,team,matches,wins,draws,losses,points
1.,Lendület SE I.-Ybl Tervező,28,24,4,0,52
2.,KSI SE VI.,28,24,2,2,50
3.,OTP SK II.,28,22,2,4,46
4.,Puskás DSK I.,28,18,2,8,38
5.,Igazságügyi SC I.,28,15,4,9,34
6.,ABC Centerline III.,28,14,3,11,31
7.,Ikarus BSE II.,28,14,2,12,29
8.,Budai XI SE VI.-Dunaholding,28,13,3,12,29
9.,OVIT SE II.,28,12,5,11,29
10.,Pestújhelyi SC IV.,28,11,3,14,25
11.,Pénzügyőr SE X.-Fekete Sereg,28,11,0,17,22
12.,KFKI SK III.,28,7,2,19,16
13.,Sanitas-Budó SE IV.,28,6,2,20,14
14.,Budai XI SE VII.-MAFILM,28,2,0,26,4
15.,MTSE I.,28,0,0,28,0
16.,X BP II/1,0,0,0,0,0
