match_id,home_team,away_team,score
18894,Szent Pál Akadémia-HSE I. ↔,BKV Előre SC I.,10 : 6
18927,KSI SE III. ↔,Budai XI SE III.,6 : 10
18937,OTP SK I. ↔,ABC Centerline II.,14 : 2
18945,ABC Centerline II. ↔,Budai XI SE III.,9 : 7
18941,KSI SE III. ↔,High Life SE II.-WASABI,14 : 2
18940,BVSC-Zugló V.-Senior II. ↔,ESMTK II.,11 : 5
18942,BKV Előre SC I. ↔,MAFC III.,12 : 4
18944,Kispest SE II. ↔,OTP SK I.,6 : 10
18946,Pénzügyőr SE V. ↔,Szent Pál Akadémia-HSE I.,16 : 0
18943,ESMTK IV. ↔,KSI Senior-KÖZGÁZ SC és DSK,9 : 7
