position,team,matches,wins,draws,losses,points
1.,ESMTK III.,30,30,0,0,60
2.,Pestújhelyi SC IV.,30,24,0,6,48
3.,KIWI SE,30,23,1,6,47
4.,Budai XI SE VII.,30,22,2,6,46
5.,KSI SE VII.,30,19,2,9,40
6.,SZÜV ASE,30,14,3,13,31
7.,Honvéd Zrínyi SE II.,30,11,6,13,27
8.,Szufla SE V.-Ragazzart,30,12,2,16,26
9.,Budai XI SE VIII.-Őrmező,30,10,2,18,22
10.,Budai XI SE IX.-Meteorok,30,9,4,17,22
11.,MAFC IV.-EMKÁBÉ,30,9,3,18,21
12.,BKV Előre  SC III.,30,9,1,20,19
13.,FŐGÁZ Keszi-team I.,30,7,4,19,18
14.,Csepeli Vállalkozók AKE I.,30,9,2,19,16
15.,Kispest SE V.,30,8,2,20,16
16.,Puskás DSK III.,30,6,2,22,14
