position,team,matches,wins,draws,losses,points
1.,Pestszentimrei PSE V.,28,25,1,2,51
2.,BEAC III.,28,25,0,3,50
3.,BKV Előre  SC III.,28,23,3,2,49
4.,Budai XI SE IX.,28,17,4,7,36
5.,Palotai Titánok SE II.,28,17,2,9,34
6.,Budai XI. SE V.,28,15,1,12,31
7.,SZÜV ASE I.,28,13,2,13,28
8.,KSI SE V.,28,11,5,12,27
9.,MAFC III.-EMKÁBÉ,28,11,5,12,27
10.,Angyalföldi TTE II.,28,12,1,15,25
11.,Városmajori Katolikus Egyesület,28,8,2,18,16
12.,MVM SE II.,28,6,3,19,13
13.,Rákosmente AK I.,28,5,2,21,12
14.,Kőbánya SC III.,28,3,3,22,9
15.,GALAXIS VSE II.-Fortuna,28,1,2,25,4
16.,X BP II/3,0,0,0,0,0
