position,team,matches,wins,draws,losses,points
1.,Sanitas-BUDO SE III.-Autóklub,30,28,2,0,58
2.,MALÉV SC III.,30,28,1,1,57
3.,BVSC-Zugló Senior II.,30,24,0,6,48
4.,MTK Budapest II.,30,18,3,9,39
5.,BKV Előre SC I.,30,18,2,10,38
6.,ABC Centerline II.,30,17,3,10,37
7.,Vármajori SE II.,30,18,0,12,34
8.,BVSC-Zugló SI V.,30,14,2,14,30
9.,Sanitas-BUDO SE II.,30,12,1,17,25
10.,KSI Senior-KFKI SK II.,30,11,2,17,24
11.,Pestújhelyi SC III.,30,9,6,15,24
12.,ESMTK III.,30,9,3,18,21
13.,Pénzügyőr SE VIII.,30,9,1,20,19
14.,Törekvés SE,30,7,3,20,17
15.,SZUFLA SE III.,30,1,2,27,4
16.,ESMTK II.,30,1,1,28,0
