position,team,matches,wins,draws,losses,points
1.,BEAC I.-PPKO,26,23,0,3,46
2.,High Life SE III.-Rossoneri,26,17,6,3,40
3.,ESMTK III.,26,17,6,3,40
4.,Budai XI. SE II.,26,15,6,5,36
5.,Igazságügyi SC I.,26,16,2,8,34
6.,KSI SE IV.-KFKI II.,26,15,1,10,31
7.,Pestszentimrei PSE III.,26,13,1,12,27
8.,Kőbánya SC II.,26,12,2,12,26
9.,Pestújhelyi SC IV.,26,9,3,14,21
10.,MAFC II.,26,9,2,15,20
11.,BVSC-Zugló IV.,26,6,3,17,15
12.,Pénzügyőr SE VI.,26,6,1,19,13
13.,Kispest SE III.,26,5,0,21,10
14.,Belvárosi Asztalitenisz Egyesület,26,2,1,23,5
15.,BVSC-Zugló VI.-Veterán I.,0,0,0,0,0
