position,team,matches,wins,draws,losses,points
1.,ESMTK III.,9,9,0,0,18
2.,BVSC-Zugló IV.,9,7,2,0,16
3.,BEAC I.-PPKO,9,7,0,2,14
4.,High Life SE III.-Rossoneri,9,7,0,2,14
5.,Igazságügyi SC I.,9,6,1,2,13
6.,Kőbánya SC II.,9,6,1,2,13
7.,KSI SE VI.- MIKI I.,8,4,1,3,9
8.,Belvárosi Asztalitenisz Egyesület,9,3,2,4,8
,Budai XI. SE II.,8,4,0,4,8
10.,ABC Centerline II.,9,3,1,5,7
11.,KSI SE V.-KFKI II.,9,2,1,6,5
12.,BVSC-Zugló VI.-Veterán I.,9,2,0,7,4
13.,Kispest SE III.,8,2,0,6,4
14.,Pénzügyőr SE VI.,8,1,1,6,3
15.,Pestújhelyi SC IV.,9,1,0,8,2
,MAFC II.,9,1,0,8,2
