position,team,matches,wins,draws,losses,points
1.,BEAC I.,28,24,2,2,50
2.,KSI SE VII.-PPKO,28,24,2,2,50
3.,Multi Sport SE,28,21,3,4,45
4.,Budai XI. SE V.,28,20,2,6,42
5.,Pénzügyőr SE IX.,28,18,4,6,40
6.,KSI SE IX.,28,14,6,8,34
7.,Kőbánya SC II.,28,14,3,11,31
8.,Csepeli VAKE I.,28,12,3,13,27
9.,SZÜV ASE I.,28,10,4,14,24
10.,BKV Előre  SC III.,28,10,3,15,23
11.,MAFC III.-PANCHO,28,10,1,17,21
12.,Ferencvárosi Vasutas SK,28,7,1,20,15
13.,ESMTK IV.,28,6,0,22,12
14.,Puskás DSK II.,28,2,2,24,6
15.,KSI Senior-KFKI SK IV.,28,0,0,28,0
16.,X BP II/2,0,0,0,0,0
