position,team,matches,wins,draws,losses,points
1.,Pénzügyőr SE IV.,9,9,0,0,18
2.,MALÉV SC II.,8,6,2,0,14
3.,Hajós Alfréd DSE,8,6,1,1,13
4.,Budai XI SE I.,9,6,0,3,12
5.,ABC Centerline I.,9,4,3,2,11
6.,Pestszentimrei PSE I.,8,4,2,2,10
,BVSC-Zugló III.-Senior I.,8,4,2,2,10
8.,MVM SE I.,9,3,3,3,9
9.,Kőbánya SC I.,9,3,1,5,7
10.,Postás SE,8,3,0,5,6
11.,Honvéd Zrinyi SE I.,8,2,2,4,6
12.,MAFC I.,9,2,0,7,4
,MLTC - Mátyásföldi Sasok,8,2,0,6,4
14.,Cromax SE,8,1,0,7,2
15.,Sanitas-BUDO SE III.,8,0,0,8,0
16.,MAVEX SE III.,0,0,0,0,0
