match_id,home_team,away_team,score
18793,Sanitas-BUDO SE III.  ↔,Pestszentimrei PSE II.,13 : 3
18804,Pestszentimrei PSE II. ↔,MLTC - Mátyásföldi Sasok,7 : 9
18830,Pestszentimrei PSE II. ↔,MAFC I.,9 : 7
18834,Sanitas-BUDO SE III.  ↔,MLTC - Mátyásföldi Sasok,9 : 7
18849,Kőbánya SC I. ↔,Pestszentimrei PSE II.,16 : 0
18855,Postás SE ↔,MALÉV SC II.,3 : 13
18852,MAFC I. ↔,Hajós Alfréd DSE,2 : 14
18854,MVM SE I. ↔,MAVEX SE III.,16 : 0
18850,BVSC-Zugló III.-Senior I. ↔,MLTC - Mátyásföldi Sasok,6 : 10
18851,Pénzügyőr SE IV. ↔,Sanitas-BUDO SE III.,11 : 5
18853,Budai XI SE I. ↔,Honvéd Zrinyi SE I.,9 : 7
