position,team,matches,wins,draws,losses,points
1.,BKV Előre  SC III.,9,7,2,0,16
2.,BEAC II.,9,6,1,2,13
3.,Törekvés SE,9,6,1,2,13
4.,NKM Gáz SE I.,9,6,0,3,12
5.,ABC Centerline IV.,9,5,1,3,11
6.,Budai XI SE VIII.-Őrmező,9,5,1,3,11
7.,Budai XI SE IV.-Kontra cs.,9,5,0,4,10
8.,Multi Sport SE I.,9,5,0,4,9
9.,KIWI SE,9,4,1,4,9
10.,Honvéd Zrínyi SE II.,9,3,2,4,8
11.,ESZVK-Parazsak,9,4,0,5,8
12.,High Life SE IV.-Diavoli,9,3,2,4,8
13.,Pénzügyőr SE VII.,9,3,1,5,7
14.,FKF SK IV.-Öregfiúk,9,3,0,6,6
15.,GALAXIS VSE III.-Fortuna,9,0,1,8,1
,MAFC IV.-EMKÁBÉ,9,0,1,8,1
