position,team,matches,wins,draws,losses,points
1.,BVSC-Zugló IV.,28,27,1,0,55
2.,MTK Budapest,28,25,1,2,51
3.,Pénzügyőr SE IV.,28,19,2,7,40
4.,Kőbánya SC I.,28,18,0,10,36
5.,Aqualibrium VSE,28,17,1,10,35
6.,MVM SE I.,28,14,3,11,31
7.,Budai XI SE I.,28,14,1,13,29
8.,MALÉV SC II.,28,12,2,14,26
9.,Csintalan-Sasok-PDSK I.,28,10,3,15,23
10.,Sanitas-BUDO SE II.,28,10,2,16,22
11.,Postás SE II.,28,7,4,17,18
12.,MAFC I.,28,7,2,19,16
13.,ABC Centerline I.,28,5,4,19,14
14.,OTP SK I.,28,6,1,21,12
15.,Kispest SE II.,28,5,1,22,11
16.,MAVEX SE III.,0,0,0,0,0
