match_id,home_team,away_team,score
8885,ABC Centerline II. ↔,Budai XI SE VI.,14 : 2
8882,Csepeli Vállalkozások AE I. ↔,Pestújhelyi SC IV.,14 : 2
8879,KSI Senior-KFKI SK IV. ↔,Ferencvárosi Vasutas SK,2 : 14
8878,Puskás DSK II. ↔,Szent Pál Akadémia I.,3 : 13
8884,SZÜV ASE I. ↔,Sanitas-Budó SE II.,6 : 10
8881,BEAC I. ↔,Kőbánya SC II.,8 : 8
8883,KSI SE X. ↔,KSI SE VII.-PPKO,8 : 8
8899,KSI SE X. ↔,Budai XI SE VI.,6 : 10
8889,Pestújhelyi SC IV. ↔,BEAC I.,11 : 5
8880,BKV Előre SC III. ↔,Lendület SE II.-Népegészségügy,7 : 9
8892,Ferencvárosi Vasutas SK ↔,Puskás DSK II.,10 : 6
8890,Kőbánya SC II. ↔,BKV Előre SC III.,9 : 7
8891,Lendület SE II.-Népegészségügy ↔,KSI Senior-KFKI SK IV.,12 : 4
9115,Pestújhelyi SC IV. ↔,Sanitas-Budó SE II.,1 : 15
9114,BKV Előre SC III. ↔,BEAC I.,8 : 8
9118,Ferencvárosi Vasutas SK ↔,SZÜV ASE I.,8 : 8
9113,KSI Senior-KFKI SK IV. ↔,Csepeli Vállalkozások AE I.,6 : 10
9116,Kőbánya SC II. ↔,Budai XI SE VI.,7 : 9
9117,Lendület SE II.-Népegészségügy ↔,ABC Centerline II.,1 : 15
9112,Puskás DSK II. ↔,KSI SE X.,4 : 12
9119,Szent Pál Akadémia I. ↔,KSI SE VII.-PPKO,5 : 11
