position,team,matches,wins,draws,losses,points
1.,Palotai Titánok SE I.,26,26,0,0,52
2.,OTP SK I.,26,20,2,4,41
3.,Igazságügyi SC I.,26,15,5,6,33
4.,BEAC II.,26,15,2,9,32
5.,Pénzügyőr SE VI.,26,13,2,11,28
6.,Budai XI. SE III.,26,13,3,10,27
7.,Kőbánya SC II.,26,12,2,12,26
8.,Pestszentimrei PSE III.,26,10,4,12,24
9.,Petend-Shopsport SE,26,10,4,12,20
10.,Belvárosi Asztalitenisz Egyesület,26,7,4,15,18
11.,Pestújhelyi SC III.,26,7,3,16,17
12.,Kispest SE III.,26,7,0,19,14
13.,BKV Előre  SC II.,26,7,1,18,13
14.,ESMTK III.,26,3,2,21,8
15.,KSI SE IV.-KFKI II.,0,0,0,0,0
,Pénzügyőr SE VII.,0,0,0,0,0
