position,team,matches,wins,draws,losses,points
1.,ABC Centerline III.,24,21,1,2,43
2.,Kispest SE IV.,24,20,1,3,41
3.,MAFC III.-PANCHO,24,19,1,4,39
4.,Budai XI SE VII.,24,19,1,4,39
5.,Shopsport SE,24,15,4,5,34
6.,BKV Előre  SC II.,24,14,1,9,29
7.,Budai XI SE IX.,24,11,1,12,23
8.,SZÜV ASE,24,10,2,12,22
9.,Angyalföldi TTE II.,24,10,1,13,21
10.,KSI SE VI.,24,9,2,13,20
11.,ESMTK V.,24,8,2,14,18
12.,Palotai Titánok SE II.,24,8,0,16,16
13.,Rákosmente AK I.,24,7,2,15,14
14.,FKF SK IV.-Öregfiúk,24,6,0,18,12
15.,GALAXIS VSE II.,24,5,0,19,10
16.,Kőbánya SC II.,24,0,1,23,1
