position,team,matches,wins,draws,losses,points
1.,BEAC II.,26,19,6,1,44
2.,BKV Előre  SC III.,26,16,5,5,37
3.,High Life SE IV.-Diavoli,26,17,2,7,36
4.,MVM Gáz SE I.,26,17,1,8,35
5.,ABC Centerline III.,26,13,5,8,31
6.,KIWI SE,26,13,0,13,26
7.,ESZVK-Parazsak,26,12,2,12,26
8.,Budai XI SE VIII.-Őrmező,26,11,3,12,25
9.,MAFC IV.-EMKÁBÉ,26,11,3,12,25
10.,Törekvés SE,26,8,5,13,21
11.,Honvéd Zrínyi SE II.,26,10,0,16,20
12.,Budai XI SE IV.-Kontra csoport,26,10,0,16,20
13.,Pénzügyőr SE VII.,26,6,4,16,16
14.,FKF SK IV.-Öregfiúk,26,1,0,25,2
15.,Multi SE,0,0,0,0,0
