match_id,home_team,away_team,score
15052,Puskás DSK II. ↔,Pestújhelyi SC V.,11 : 5
15121,Szufla SE VI.-Ragazzart ↔,Palotai Titánok SE II.,10 : 6
15124,Rákosmente AK I. ↔,FKF SK II.,6 : 10
15125,Budai XI SE VI.-Dunaholding ↔,BPPK SE I.-túróSCsusza,14 : 2
15122,Ikarus BSE ↔,Szufla SE VI.-Ragazzart,7 : 9
15129,Ferencvárosi Vasutas SK ↔,Palotai Titánok SE II.,11 : 5
15127,Budai XI. SE V. ↔,Pestújhelyi SC V.,13 : 3
15123,Kispest SE IV. ↔,Puskás DSK II.,0 : 0
15126,KSI SE V. ↔,Törekvés SE,0 : 0
15128,BEAC II. ↔,ESMTK IV.,12 : 4
