match_id,home_team,away_team,score
15480,Budai XI SE VII. ↔,Honvéd Zrínyi SE II.,13 : 3
15511,Kispest SE V. ↔,Csepeli Vállalkozók AKE I.,6 : 10
15513,Budai XI SE VIII.-Őrmező ↔,BKV Előre  SC III.,10 : 6
15510,SZÜV ASE ↔,FŐGÁZ Keszi-team I.,8 : 8
15507,Puskás DSK III. ↔,ESMTK III.,4 : 12
15512,Szufla SE V.-Ragazzart ↔,Honvéd Zrínyi SE II.,7 : 9
15506,Budai XI SE IX.-Meteorok ↔,MAFC IV.-EMKÁBÉ,10 : 6
15509,KSI SE VII. ↔,Pestújhelyi SC IV.,10 : 6
15508,Budai XI SE VII. ↔,KIWI SE,10 : 6
15515,MAFC IV.-EMKÁBÉ ↔,Puskás DSK III.,3 : 13
15519,Pestújhelyi SC IV. ↔,SZÜV ASE,10 : 6
15517,Csepeli Vállalkozók AKE I. ↔,Szufla SE V.-Ragazzart,7 : 9
15523,KSI SE VII. ↔,Budai XI SE VIII.-Őrmező,11 : 5
