position,team,matches,wins,draws,losses,points
1.,Budai XI SE III.,8,8,0,0,16
2.,Kispest SE II.,8,7,1,0,15
3.,BVSC-Zugló V.-Senior II.,8,4,2,2,10
4.,Pénzügyőr SE V.,9,5,0,4,10
5.,BKV Előre SC I.,8,5,0,3,10
6.,ESMTK II.,9,3,2,4,8
7.,OTP SK I.,6,4,0,2,8
,High Life SE II.-WASABI,7,4,0,3,8
9.,KSI SE IV.,8,3,1,4,7
,Szent Pál Akadémia-HSE I.,8,3,1,4,7
11.,KSI Senior-KÖZGÁZ SC és DSK,8,3,0,5,6
12.,ABC Centerline III.,8,1,2,5,4
13.,ESMTK IV.,8,1,2,5,4
14.,Angyalföldi TTE I.,7,2,0,5,4
15.,MAFC III.-PANCHO,8,0,1,7,1
16.,KSI SE VII.,0,0,0,0,0
