position,team,matches,wins,draws,losses,points
1.,Pestújhelyi SC III.,30,27,3,0,57
2.,BVSC-Zugló Senior II.,30,24,5,1,53
3.,BKV Előre SC I.,30,22,3,5,47
4.,Lendület SE I.-PPKO,30,21,4,5,46
5.,Sanitas-BUDO SE IV.,30,17,5,8,39
6.,HCTC-M-K AK II.-WASABI,30,15,5,10,35
7.,Szufla SE III.-Kerepes,30,11,6,13,28
8.,KSI SE IV.- MIKI I.,30,13,2,15,28
9.,HCTC-Magyar-Kínai AK I.,30,12,4,14,28
10.,KSI Senior-KFKI SK II.,30,10,4,16,24
11.,ESMTK II.,30,11,2,17,23
12.,OTP SK II.,30,9,5,16,23
13.,Pénzügyőr SE VIII.,30,11,3,16,23
14.,Sanitas-BUDO SE V.-Vármajor,30,6,3,21,12
15.,FŐGÁZ Keszi-team I.,30,3,0,27,6
16.,Lendület SE II.-Ybl Tervező,30,1,0,29,2
