match_id,home_team,away_team,score
11601,Ikarus BSE I. ↔,Szufla SE I.-Kerepes,9 : 7
11635,KSI SE III. ↔,MVM SE I.,11 : 5
11639,ESMTK I. ↔,Szufla SE I.-Kerepes,8 : 8
11665,Postás SE II. ↔,ESMTK I.,7 : 9
11660,Asztalitenisz Egyetem SE ↔,Kispest SE I.,0 : 16
11659,MVM SE I. ↔,Kőbánya SC I.,12 : 4
11663,FKF Zrt. SK I. ↔,Pénzügyőr SE V.,10 : 6
11664,BVSC-Zugló SI IV. ↔,OTP SK I.,14 : 2
11662,Szufla SE I.-Kerepes ↔,KSI SE III.,13 : 3
11661,Ikarus BSE I. ↔,Budai XI SE I.,10 : 6
11658,MAVEX SE III. ↔,MAFC I.,11 : 5
11572,Szufla SE I.-Kerepes ↔,MAFC I.,9 : 7
