position,team,matches,wins,draws,losses,points
1.,Palotai Titánok SE I.,8,8,0,0,16
2.,Sanitas-Budo SE IV.-Asia Center I.,9,7,0,2,14
3.,Pestszentimrei PSE II.,8,7,0,1,14
4.,Hidegkúti SC-Klebelsberg I.,9,5,2,2,12
5.,GALAXIS VSE I.,9,4,2,3,10
6.,Pestújhelyi SC V.,8,4,1,3,9
7.,BPPK SE I.-túróSCsusza,8,3,3,2,9
8.,Angyalföldi TTE III.,8,4,0,4,8
9.,MAFC V.-Puskás,8,3,1,4,7
10.,Budai XI. SE V.,9,3,0,6,6
11.,Budai XI SE X.-Külváros,9,3,0,6,6
12.,Budai XI SE VI.-Dunaholding,9,2,1,6,5
13.,SAP-SPLITT-PONG,8,1,2,5,4
14.,ESMTK V.,8,1,1,6,3
,FKF SK II.,8,1,1,6,3
16.,MVM SE II.,0,0,0,0,0
