position,team,matches,wins,draws,losses,points
1.,PDSK I.-Csintalan-Mf. Sasok,30,28,2,0,58
2.,BVSC-Zugló SI V.,30,24,3,3,51
3.,BKV Előre SC I.,30,23,1,6,47
4.,ABC Centerline II.,30,20,4,6,44
5.,Sanitas-BUDO SE IV.,30,20,3,7,43
6.,Szufla SE III.-SUPERNOVÁK,30,16,2,12,32
7.,BVSC-Zugló Senior II.,30,14,3,13,31
8.,Lendület SE I.-PPKO,30,14,1,15,29
9.,Pénzügyőr SE VIII.,30,11,6,13,28
10.,BEAC I.,30,12,3,15,25
11.,Sanitas-BUDO SE V.-Vármajor,30,11,2,17,22
12.,KSI Senior-KFKI SK II.,30,9,1,20,19
13.,OTP SK II.,30,7,1,22,15
14.,Pestújhelyi SC III.,30,6,2,22,14
15.,ESMTK II.,30,6,2,22,14
16.,Budai XI SE III.-Őrmező,30,1,0,29,2
