match_id,home_team,away_team,score
9704,OTP SK I. ↔,Belvárosi Asztalitenisz Egyesület,12 : 4
9684,BKV Előre SC II. ↔,Pénzügyőr SE VIII.,9 : 7
9686,ESMTK I. ↔,Honvéd Zrínyi SE II.,10 : 6
9689,2002 Római ASE ↔,Vármajori SE II.,13 : 3
9690,BKV Előre SC I. ↔,Belvárosi Asztalitenisz Egyesület,9 : 7
9685,Kispest SE II. ↔,Törekvés SE,6 : 10
9728,MTK II. ↔,Budai XI SE III.-túróSCsusza,5 : 11
9687,OTP SK I. ↔,Pestújhelyi SC III.,12 : 4
9729,Pestújhelyi SC III. ↔,MTK II.,13 : 3
9697,BKV Előre SC I. ↔,OTP SK I.,5 : 11
9695,BVSC-Zugló Senior II. ↔,2002 Római ASE,9 : 7
9696,Budai XI SE III.-túróSCsusza ↔,BVSC-Zugló SI V.,12 : 4
9693,Pénzügyőr SE VIII. ↔,Kispest SE II.,7 : 9
9692,Törekvés SE ↔,ESMTK I.,7 : 9
9691,Belvárosi Asztalitenisz Egyesület ↔,Honvéd Zrínyi SE II.,14 : 2
9694,Vármajori SE II. ↔,BKV Előre SC II.,9 : 7
9702,BKV Előre SC II. ↔,BVSC-Zugló Senior II.,6 : 10
9698,ESMTK I. ↔,Pénzügyőr SE VIII.,6 : 10
9701,2002 Római ASE ↔,Budai XI SE III.-túróSCsusza,4 : 0
9699,Honvéd Zrínyi SE II. ↔,Törekvés SE,9 : 7
9700,BVSC-Zugló SI V. ↔,Pestújhelyi SC III.,12 : 4
9703,Kispest SE II. ↔,Vármajori SE II.,13 : 3
9730,MTK II. ↔,BKV Előre SC I.,2 : 14
