position,team,matches,wins,draws,losses,points
1.,Kispest SE I.,26,23,0,3,46
2.,VEMAX SE III.,26,19,5,2,43
3.,ABC Centerline I.,26,18,4,4,40
4.,Szent Pál Akadémia-HSE I.,26,17,2,7,36
5.,MVM SE I.,26,16,1,9,33
6.,Kőbánya SC I.,26,14,3,9,31
7.,Budai XI SE II.,26,14,2,10,30
8.,Pestszentimrei PSE III.,26,10,3,13,23
9.,BEAC I.-PPKO,26,8,2,16,18
10.,EGIS SE I.,26,8,2,16,18
11.,OTP SK I.,26,7,3,16,17
12.,MAFC I.,26,5,2,19,12
13.,BVSC-Zugló III.-Senior I.,26,4,4,18,12
14.,ESMTK I.,26,2,1,23,4
15.,X BP I/A,0,0,0,0,0
,Palotai Titánok SE I.,0,0,0,0,0
