position,team,matches,wins,draws,losses,points
1.,BVSC-Zugló SI IV.,30,30,0,0,60
2.,ESMTK I.,30,21,4,5,46
3.,OTP SK I.,30,22,2,6,46
4.,Pénzügyőr SE VII.,30,19,3,8,41
5.,BVSC-Zugló Senior I.,30,17,3,10,37
6.,ABC Centerline I.,30,17,2,11,36
7.,MAFC II.,30,15,5,10,35
8.,Honvéd Zrinyi SE I.,30,14,5,11,33
9.,KSI SE V.-Pontos Idő,30,13,5,12,31
10.,Szufla SE II.,30,12,3,15,27
11.,Budai XI. SE II.,30,12,3,15,26
12.,Kispest SE II.,30,7,6,17,20
13.,KSI Senior-KÖZGÁZ SC és DSK,30,6,6,18,18
14.,ANY Biztonsági SK I.,30,4,4,22,12
15.,Belvárosi Asztalitenisz Egyesület,30,3,5,22,11
16.,Budai XI SE III.-túróSCsusza,30,0,0,30,0
