position,team,matches,wins,draws,losses,points
1.,FKF SK II.,26,22,3,1,47
2.,Törekvés SE,26,20,4,2,44
3.,Puskás DSK II.,26,19,3,4,41
4.,Szufla SE VI.-Ragazzart,26,18,2,6,38
5.,Budai XI. SE V.,26,16,1,9,33
6.,ESMTK IV.,26,13,6,7,32
7.,Budai XI SE VI.-Dunaholding,26,13,3,10,29
8.,Palotai Titánok SE II.,26,11,1,14,23
9.,Ferencvárosi Vasutas SK,26,7,3,16,17
10.,Rákosmente AK I.,26,9,0,17,17
11.,Pestújhelyi SC V.,26,6,2,18,13
12.,BPPK SE I.-túróSCsusza,26,4,4,18,12
13.,BEAC II.,26,3,1,22,7
14.,Ikarus BSE,26,2,5,19,5
15.,Kispest SE IV.,0,0,0,0,0
,KSI SE V.,0,0,0,0,0
