match_id,home_team,away_team,score
11230,Sanitas-BUDO SE III.-Autóklub ↔,Sanitas-BUDO SE II.,15 : 1
11213,Pestújhelyi SC III. ↔,BKV Előre SC I.,4 : 12
11211,KSI Senior-KFKI SK II. ↔,ESMTK III.,6 : 10
11216,ESMTK II. ↔,Sanitas-BUDO SE II.,5 : 11
11212,BVSC-Zugló Senior II. ↔,BVSC-Zugló SI V.,10 : 6
11214,Sanitas-BUDO SE III.-Autóklub ↔,MALÉV SC III.,10 : 6
11217,ABC Centerline II. ↔,MTK Budapest II.,9 : 7
11210,Törekvés SE ↔,Pénzügyőr SE VIII.,5 : 11
11215,SZUFLA SE III. ↔,Vármajori SE II.,0 : 16
11224,ESMTK III. ↔,Törekvés SE,5 : 11
11222,BKV Előre SC I. ↔,BVSC-Zugló Senior II.,6 : 10
11218,MTK Budapest II. ↔,ESMTK II.,15 : 1
11223,BVSC-Zugló SI V. ↔,KSI Senior-KFKI SK II.,9 : 7
11219,Sanitas-BUDO SE II.  ↔,SZUFLA SE III.,13 : 3
11220,Vármajori SE II. ↔,Sanitas-BUDO SE III.-Autóklub,5 : 11
11225,Pénzügyőr SE VIII. ↔,ABC Centerline II.,6 : 10
11221,MALÉV SC III. ↔,Pestújhelyi SC III.,9 : 7
11229,Pestújhelyi SC III. ↔,Vármajori SE II.,12 : 4
11227,KSI Senior-KFKI SK II. ↔,BKV Előre SC I.,3 : 13
11232,ESMTK II. ↔,ABC Centerline II.,1 : 15
11228,BVSC-Zugló Senior II. ↔,MALÉV SC III.,5 : 11
11226,Törekvés SE ↔,BVSC-Zugló SI V.,7 : 9
11231,SZUFLA SE III. ↔,MTK Budapest II.,5 : 11
11233,Pénzügyőr SE VIII. ↔,ESMTK III.,10 : 6
11234,ESMTK II. ↔,Pénzügyőr SE VIII.,4 : 12
11240,BKV Előre SC I. ↔,Törekvés SE,10 : 6
11236,MTK Budapest II. ↔,Sanitas-BUDO SE III.-Autóklub,7 : 9
11241,BVSC-Zugló SI V. ↔,ESMTK III.,11 : 5
11235,ABC Centerline II. ↔,SZUFLA SE III.,16 : 0
11237,Sanitas-BUDO SE II.  ↔,Pestújhelyi SC III.,12 : 4
11238,Vármajori SE II. ↔,BVSC-Zugló Senior II.,9 : 7
11239,MALÉV SC III. ↔,KSI Senior-KFKI SK II.,13 : 3
11245,Pestújhelyi SC III. ↔,MTK Budapest II.,6 : 10
11243,KSI Senior-KFKI SK II. ↔,Vármajori SE II.,7 : 9
11248,ESMTK III. ↔,BKV Előre SC I.,4 : 12
11244,BVSC-Zugló Senior II. ↔,Sanitas-BUDO SE II.,11 : 5
11246,Sanitas-BUDO SE III.-Autóklub ↔,ABC Centerline II.,8 : 8
11242,Törekvés SE ↔,MALÉV SC III.,4 : 12
11247,SZUFLA SE III. ↔,ESMTK II.,8 : 8
11249,Pénzügyőr SE VIII. ↔,BVSC-Zugló SI V.,6 : 10
11251,ESMTK II. ↔,Sanitas-BUDO SE III.-Autóklub,1 : 15
11257,BKV Előre SC I. ↔,BVSC-Zugló SI V.,12 : 4
11253,MTK Budapest II. ↔,BVSC-Zugló Senior II.,6 : 10
11252,ABC Centerline II. ↔,Pestújhelyi SC III.,12 : 4
11250,SZUFLA SE III. ↔,Pénzügyőr SE VIII.,5 : 11
11254,Sanitas-BUDO SE II.  ↔,KSI Senior-KFKI SK II.,6 : 10
11255,Vármajori SE II. ↔,Törekvés SE,13 : 3
11256,MALÉV SC III. ↔,ESMTK III.,15 : 1
11261,Pestújhelyi SC III. ↔,ESMTK II.,4 : 0
11259,KSI Senior-KFKI SK II. ↔,MTK Budapest II.,8 : 8
11264,ESMTK III. ↔,Vármajori SE II.,4 : 0
11260,BVSC-Zugló Senior II. ↔,ABC Centerline II.,9 : 7
11262,Sanitas-BUDO SE III.-Autóklub ↔,SZUFLA SE III.,14 : 2
11263,BVSC-Zugló SI V. ↔,MALÉV SC III.,4 : 12
11265,Pénzügyőr SE VIII. ↔,BKV Előre SC I.,6 : 10
11268,ESMTK II. ↔,BVSC-Zugló Senior II.,0 : 16
11266,Sanitas-BUDO SE III.-Autóklub ↔,Pénzügyőr SE VIII.,12 : 4
11270,MTK Budapest II. ↔,Törekvés SE,11 : 5
11269,ABC Centerline II. ↔,KSI Senior-KFKI SK II.,9 : 7
11267,SZUFLA SE III. ↔,Pestújhelyi SC III.,8 : 8
11271,Sanitas-BUDO SE II.  ↔,ESMTK III.,12 : 4
11272,Vármajori SE II. ↔,BVSC-Zugló SI V.,4 : 0
11273,MALÉV SC III. ↔,BKV Előre SC I.,9 : 7
11277,Pestújhelyi SC III. ↔,Sanitas-BUDO SE III.-Autóklub,4 : 12
11275,KSI Senior-KFKI SK II. ↔,ESMTK II.,4 : 0
