position,team,matches,wins,draws,losses,points
1.,ABC Centerline III.,28,25,2,1,52
2.,Palotai Titánok SE II.,28,24,0,4,48
3.,BKV Előre  SC II.,28,22,3,3,47
4.,MAFC II.,28,21,2,5,44
5.,Budai XI SE IX.,28,16,5,7,37
6.,SZÜV ASE I.,28,16,3,9,35
7.,Budai XI. SE V.,28,15,1,12,31
8.,Angyalföldi TTE II.,28,11,4,13,26
9.,MVM SE II.,28,10,3,15,23
10.,Rákosmente AK I.,28,6,6,16,18
11.,KSI SE V.,28,7,4,17,18
12.,Kőbánya SC III.,28,4,5,19,13
13.,Budai XI SE XII.-Külváros II.,28,3,7,18,13
14.,Pénzügyőr SE VIII.,28,4,2,22,10
15.,GALAXIS VSE II.,28,1,3,24,5
16.,X BP II/3,0,0,0,0,0
