position,team,matches,wins,draws,losses,points
1.,Cromax SE,26,22,3,1,47
2.,Pénzügyőr SE V.,26,22,2,2,46
3.,Vármajori SE I.,26,20,2,4,42
4.,MAFC I.,26,12,5,9,29
5.,MVM SE I.,26,12,5,9,29
6.,FKF Zrt. SK,26,12,3,11,27
7.,Budai XI SE I.,26,11,5,10,27
8.,Postás SE II.,26,9,6,11,24
9.,Postás SE I.,26,9,2,15,20
10.,Ikarus BSE I.,26,8,2,16,18
11.,MAVEX SE III.,26,9,0,17,18
12.,Pénzügyőr SE VI.,26,7,1,18,15
13.,KSI SE III.,26,5,3,18,13
14.,Kispest SE I.,26,3,3,20,9
15.,BP I/A X,0,0,0,0,0
,Terézvárosi ISE,0,0,0,0,0
