position,team,matches,wins,draws,losses,points
1.,Budai XI SE V.,28,23,3,2,49
2.,Pestszentimrei PSE V.,28,21,1,6,43
3.,FKF SK II.,28,19,2,7,40
4.,BEAC II.,28,19,0,9,38
5.,MALÉV SC I.,28,16,3,9,35
6.,Törekvés SE,28,15,4,9,34
7.,Budai XI. SE III.,28,16,0,12,32
8.,Kőbánya SC II.,28,13,3,12,29
9.,ABC Centerline II.,28,11,3,14,25
10.,ESZVK-Parazsak,28,11,1,16,23
11.,Pestújhelyi SC III.,28,11,1,16,21
12.,Angyalföldi TTE I.,28,9,2,17,20
13.,MAFC II.,28,7,1,20,15
14.,KIWI SE I.,28,5,2,21,12
15.,Budai XI SE VI.-Dunaholding,28,1,0,27,2
16.,Sanitas-BUDO SE III.,0,0,0,0,0
